dummy2, 'En fin insert here', Denmark, 768, M, 1029, 597, Yellow, 179, 2
HM, 'En fin insert here', Sweden, 791, M, 156, 522, Cyan, 83, 2
QM, 'En fin insert here', Sweden, 1081, SX, 1878, 649, Purple, 134, 2
Cubus, 'En fin insert here', Sweden, 952, XXL, 222, 396, Purple, 197, 3
dummy1, 'En fin insert here', Denmark, 469, M, 1630, 976, Blue, 43, 3
Cubus, 'En fin insert here', New Zealand, 747, XL, 526, 979, Purple, 126, 2
QM, 'En fin insert here', Sweden, 481, XL, 1765, 652, Cyan, 170, 3
HM, 'En fin insert here', Norway, 361, SX, 1811, 780, Pink, 9, 3
Cubus, 'En fin insert here', New Zealand, 664, L, 1577, 791, Pink, 142, 3
QM, 'En fin insert here', Germany, 318, XL, 753, 197, Blue, 41, 1
dummy2, 'En fin insert here', Finland, 457, SX, 949, 982, Purple, 160, 2
Cubus, 'En fin insert here', Finland, 458, S, 1329, 117, Green, 160, 3
Cubus, 'En fin insert here', Denmark, 850, L, 218, 889, Pink, 52, 3
dummy2, 'En fin insert here', Sweden, 1153, L, 1974, 734, Purple, 39, 1
dummy1, 'En fin insert here', Germany, 216, XXL, 449, 467, Purple, 18, 3
HM, 'En fin insert here', Finland, 371, SX, 1038, 297, Green, 189, 2
dummy1, 'En fin insert here', Sweden, 873, XXL, 1707, 166, Yellow, 44, 3
dummy1, 'En fin insert here', Sweden, 304, SX, 1121, 172, Yellow, 28, 3
dummy1, 'En fin insert here', New Zealand, 646, L, 1692, 123, Blue, 183, 2
HM, 'En fin insert here', Sweden, 1100, M, 712, 887, Green, 24, 1
dummy1, 'En fin insert here', Germany, 557, XL, 358, 577, Blue, 105, 1
HM, 'En fin insert here', New Zealand, 427, XXL, 1328, 369, Yellow, 182, 1
QM, 'En fin insert here', Denmark, 826, XL, 480, 636, Cyan, 63, 2
QM, 'En fin insert here', Denmark, 1036, XXL, 1242, 283, Cyan, 119, 3
HM, 'En fin insert here', Denmark, 720, XL, 1543, 957, Purple, 102, 1
HM, 'En fin insert here', Denmark, 236, M, 1782, 79, Green, 69, 3
dummy2, 'En fin insert here', Finland, 784, M, 521, 1024, Blue, 162, 2
dummy2, 'En fin insert here', Germany, 542, M, 152, 275, Purple, 194, 1
dummy2, 'En fin insert here', Germany, 486, S, 686, 970, Yellow, 52, 1
QM, 'En fin insert here', Finland, 433, XL, 1623, 448, Purple, 12, 1
Cubus, 'En fin insert here', Finland, 1092, S, 1429, 110, Green, 194, 1
QM, 'En fin insert here', Norway, 412, XXL, 456, 285, Yellow, 194, 1
dummy1, 'En fin insert here', Norway, 369, SX, 1074, 661, Blue, 132, 1
HM, 'En fin insert here', Finland, 982, S, 1867, 437, Blue, 96, 1
QM, 'En fin insert here', Denmark, 535, M, 1285, 430, Pink, 111, 2
QM, 'En fin insert here', Finland, 1084, L, 1890, 252, Blue, 65, 3
dummy1, 'En fin insert here', Finland, 286, SX, 800, 838, Purple, 119, 1
dummy1, 'En fin insert here', New Zealand, 416, XXL, 1828, 272, Pink, 132, 1
Cubus, 'En fin insert here', Germany, 721, L, 1245, 650, Green, 16, 2
dummy2, 'En fin insert here', Sweden, 348, XXL, 1767, 394, Blue, 174, 1
dummy1, 'En fin insert here', New Zealand, 882, L, 917, 676, Blue, 4, 1
QM, 'En fin insert here', Sweden, 832, XXL, 591, 888, Pink, 44, 3
dummy1, 'En fin insert here', New Zealand, 415, M, 964, 765, Green, 22, 3
HM, 'En fin insert here', Germany, 771, SX, 1430, 84, Cyan, 144, 3
dummy1, 'En fin insert here', Sweden, 1007, XXL, 1436, 762, Green, 120, 3
Cubus, 'En fin insert here', Germany, 790, M, 1645, 377, Yellow, 169, 1
HM, 'En fin insert here', New Zealand, 908, XXL, 917, 462, Blue, 14, 1
dummy1, 'En fin insert here', Germany, 371, S, 377, 445, Pink, 129, 3
dummy2, 'En fin insert here', Norway, 285, M, 1659, 305, Cyan, 112, 1
dummy1, 'En fin insert here', Sweden, 394, XXL, 1475, 101, Green, 180, 3
dummy2, 'En fin insert here', New Zealand, 1000, L, 767, 880, Pink, 91, 2
dummy1, 'En fin insert here', Norway, 300, XL, 1899, 161, Green, 191, 1
QM, 'En fin insert here', Sweden, 799, XXL, 985, 433, Green, 131, 3
Cubus, 'En fin insert here', Germany, 434, XL, 647, 792, Purple, 24, 1
Cubus, 'En fin insert here', Germany, 1022, S, 1025, 346, Yellow, 42, 1
QM, 'En fin insert here', Sweden, 896, S, 96, 307, Blue, 41, 2
QM, 'En fin insert here', Sweden, 275, XXL, 1075, 217, Purple, 13, 1
dummy1, 'En fin insert here', New Zealand, 806, M, 1558, 764, Pink, 57, 1
QM, 'En fin insert here', Finland, 733, M, 1844, 1022, Cyan, 72, 3
dummy2, 'En fin insert here', Sweden, 556, L, 195, 671, Yellow, 181, 3
dummy1, 'En fin insert here', Denmark, 1106, SX, 231, 924, Yellow, 34, 3
HM, 'En fin insert here', Germany, 877, XXL, 884, 182, Blue, 88, 3
QM, 'En fin insert here', Sweden, 736, L, 1612, 929, Green, 97, 3
QM, 'En fin insert here', Germany, 788, L, 1766, 966, Pink, 188, 2
QM, 'En fin insert here', Finland, 381, M, 335, 1055, Blue, 26, 3
dummy2, 'En fin insert here', Sweden, 1182, M, 2054, 1050, Blue, 37, 2
QM, 'En fin insert here', Norway, 737, M, 579, 151, Purple, 68, 2
HM, 'En fin insert here', New Zealand, 823, M, 225, 294, Purple, 69, 1
QM, 'En fin insert here', Germany, 243, SX, 753, 956, Yellow, 189, 2
QM, 'En fin insert here', New Zealand, 1096, L, 1778, 947, Cyan, 75, 1
HM, 'En fin insert here', Germany, 639, XL, 431, 867, Cyan, 98, 3
QM, 'En fin insert here', Sweden, 1026, M, 1014, 991, Pink, 25, 3
Cubus, 'En fin insert here', Sweden, 1189, XXL, 1272, 998, Pink, 61, 3
Cubus, 'En fin insert here', Denmark, 324, M, 1409, 141, Blue, 128, 2
HM, 'En fin insert here', New Zealand, 930, SX, 1491, 525, Cyan, 3, 2
QM, 'En fin insert here', New Zealand, 1122, XL, 1676, 709, Green, 145, 1
QM, 'En fin insert here', Norway, 1046, S, 1390, 472, Yellow, 56, 2
dummy1, 'En fin insert here', Denmark, 1132, SX, 1914, 354, Yellow, 65, 2
dummy2, 'En fin insert here', Denmark, 595, M, 1407, 137, Blue, 57, 1
Cubus, 'En fin insert here', Finland, 200, S, 1394, 999, Purple, 110, 2
dummy1, 'En fin insert here', New Zealand, 450, S, 1362, 450, Pink, 167, 2
dummy2, 'En fin insert here', New Zealand, 1195, XXL, 1983, 442, Yellow, 67, 3
HM, 'En fin insert here', New Zealand, 1053, XXL, 1615, 470, Yellow, 19, 1
QM, 'En fin insert here', Germany, 472, L, 1445, 921, Cyan, 178, 3
Cubus, 'En fin insert here', Sweden, 543, XXL, 1350, 89, Purple, 82, 3
dummy1, 'En fin insert here', New Zealand, 1029, L, 1392, 464, Yellow, 180, 3
Cubus, 'En fin insert here', Finland, 594, SX, 1581, 743, Cyan, 175, 3
dummy1, 'En fin insert here', Norway, 828, SX, 1630, 544, Blue, 119, 3
dummy2, 'En fin insert here', New Zealand, 1112, XXL, 148, 300, Green, 134, 3
dummy2, 'En fin insert here', Germany, 568, XL, 592, 926, Pink, 80, 2
dummy1, 'En fin insert here', Norway, 900, XXL, 2025, 255, Cyan, 109, 1
Cubus, 'En fin insert here', Finland, 890, XL, 1864, 856, Blue, 78, 1
Cubus, 'En fin insert here', Denmark, 379, XXL, 858, 730, Cyan, 45, 1
dummy1, 'En fin insert here', Norway, 1152, S, 340, 364, Yellow, 89, 3
dummy2, 'En fin insert here', Germany, 1172, S, 1359, 608, Cyan, 98, 1
dummy1, 'En fin insert here', New Zealand, 1106, L, 1690, 1044, Blue, 175, 3
dummy2, 'En fin insert here', Finland, 348, XL, 2005, 729, Purple, 113, 2
HM, 'En fin insert here', Sweden, 593, XL, 1868, 527, Pink, 188, 2
dummy1, 'En fin insert here', New Zealand, 1129, L, 782, 651, Pink, 148, 2
dummy1, 'En fin insert here', New Zealand, 718, M, 1565, 772, Pink, 177, 3
HM, 'En fin insert here', Norway, 849, M, 1779, 471, Yellow, 168, 2
QM, 'En fin insert here', Finland, 1094, SX, 699, 119, Yellow, 24, 1
Cubus, 'En fin insert here', Norway, 1131, L, 1041, 436, Pink, 29, 1
dummy2, 'En fin insert here', Finland, 1104, XXL, 1837, 524, Blue, 61, 2
dummy1, 'En fin insert here', Norway, 704, SX, 411, 915, Green, 116, 2
HM, 'En fin insert here', New Zealand, 664, SX, 313, 870, Purple, 9, 2
dummy2, 'En fin insert here', Germany, 1163, XL, 580, 650, Cyan, 143, 1
dummy1, 'En fin insert here', Finland, 228, SX, 883, 631, Green, 140, 3
dummy2, 'En fin insert here', Finland, 1007, SX, 1655, 745, Cyan, 101, 3
Cubus, 'En fin insert here', Finland, 558, S, 1128, 188, Pink, 75, 3
dummy2, 'En fin insert here', Denmark, 746, SX, 475, 846, Blue, 124, 1
QM, 'En fin insert here', Sweden, 442, XXL, 1819, 1065, Yellow, 46, 1
HM, 'En fin insert here', Sweden, 694, L, 1484, 850, Yellow, 197, 3
QM, 'En fin insert here', Sweden, 1145, XL, 934, 279, Purple, 8, 3
HM, 'En fin insert here', Sweden, 839, XL, 622, 476, Blue, 22, 1
dummy2, 'En fin insert here', Sweden, 535, SX, 916, 90, Yellow, 157, 1
HM, 'En fin insert here', Finland, 481, SX, 695, 670, Purple, 10, 2
QM, 'En fin insert here', Germany, 741, XL, 1356, 508, Blue, 4, 1
Cubus, 'En fin insert here', New Zealand, 1022, M, 1899, 120, Green, 168, 1
HM, 'En fin insert here', Germany, 782, XXL, 1806, 111, Cyan, 18, 3
dummy1, 'En fin insert here', Norway, 306, SX, 571, 735, Yellow, 13, 3
HM, 'En fin insert here', Germany, 1032, SX, 77, 131, Purple, 88, 3
HM, 'En fin insert here', Finland, 249, XL, 825, 906, Purple, 171, 1
dummy2, 'En fin insert here', Norway, 674, M, 1750, 834, Blue, 13, 1
dummy1, 'En fin insert here', New Zealand, 241, XXL, 1670, 642, Yellow, 10, 3
Cubus, 'En fin insert here', Sweden, 879, S, 1081, 782, Purple, 18, 3
QM, 'En fin insert here', Norway, 831, M, 914, 799, Cyan, 178, 1
QM, 'En fin insert here', Germany, 559, XL, 613, 518, Cyan, 162, 1
Cubus, 'En fin insert here', Norway, 406, M, 1545, 433, Blue, 42, 2
Cubus, 'En fin insert here', Sweden, 1100, L, 1782, 586, Green, 23, 2
HM, 'En fin insert here', Finland, 888, XXL, 512, 690, Yellow, 200, 3
HM, 'En fin insert here', New Zealand, 452, XXL, 1839, 231, Blue, 21, 1
dummy1, 'En fin insert here', Norway, 1002, SX, 1294, 985, Yellow, 140, 1
dummy1, 'En fin insert here', Finland, 887, L, 1259, 274, Pink, 191, 1
dummy1, 'En fin insert here', Norway, 204, L, 317, 468, Cyan, 5, 1
dummy2, 'En fin insert here', Norway, 419, XL, 1924, 624, Blue, 117, 2
Cubus, 'En fin insert here', Denmark, 694, SX, 1726, 426, Pink, 51, 1
dummy1, 'En fin insert here', Finland, 813, M, 1572, 387, Purple, 142, 3
QM, 'En fin insert here', Finland, 653, M, 1672, 772, Purple, 200, 3
dummy1, 'En fin insert here', Germany, 973, XL, 290, 120, Purple, 188, 2
Cubus, 'En fin insert here', Sweden, 936, XL, 1044, 494, Cyan, 161, 3
dummy2, 'En fin insert here', Norway, 315, L, 822, 730, Yellow, 123, 2
QM, 'En fin insert here', Sweden, 562, SX, 1265, 121, Purple, 178, 1
dummy2, 'En fin insert here', Germany, 771, S, 449, 349, Cyan, 178, 3
QM, 'En fin insert here', Denmark, 235, M, 1006, 883, Purple, 66, 2
HM, 'En fin insert here', New Zealand, 495, XL, 1935, 71, Purple, 158, 1
Cubus, 'En fin insert here', Finland, 1117, S, 239, 848, Blue, 199, 2
dummy2, 'En fin insert here', Denmark, 243, XXL, 628, 940, Pink, 188, 1
HM, 'En fin insert here', Germany, 804, M, 2018, 263, Pink, 128, 2
dummy1, 'En fin insert here', Finland, 774, XL, 951, 908, Green, 130, 3
dummy2, 'En fin insert here', Sweden, 343, SX, 991, 402, Yellow, 61, 3
dummy2, 'En fin insert here', Norway, 950, SX, 1634, 1064, Yellow, 81, 1
Cubus, 'En fin insert here', Norway, 300, XXL, 1825, 497, Yellow, 61, 1
QM, 'En fin insert here', Sweden, 882, XL, 1282, 754, Yellow, 200, 2
Cubus, 'En fin insert here', Germany, 427, L, 1263, 493, Purple, 151, 1
dummy1, 'En fin insert here', Sweden, 1123, SX, 113, 221, Pink, 190, 2
dummy1, 'En fin insert here', Denmark, 769, XXL, 110, 197, Yellow, 71, 2
dummy1, 'En fin insert here', New Zealand, 855, M, 627, 668, Cyan, 77, 1
Cubus, 'En fin insert here', Finland, 905, L, 263, 138, Pink, 50, 2
HM, 'En fin insert here', New Zealand, 564, SX, 1677, 1062, Yellow, 41, 1
dummy2, 'En fin insert here', Finland, 1194, XXL, 735, 686, Blue, 26, 3
QM, 'En fin insert here', Norway, 505, XXL, 1687, 408, Green, 196, 1
Cubus, 'En fin insert here', Germany, 404, XXL, 1536, 695, Green, 31, 3
QM, 'En fin insert here', Finland, 589, M, 1886, 362, Yellow, 93, 3
dummy2, 'En fin insert here', Germany, 510, SX, 1496, 1035, Yellow, 84, 3
HM, 'En fin insert here', New Zealand, 704, L, 1665, 825, Pink, 111, 2
Cubus, 'En fin insert here', New Zealand, 869, XL, 558, 956, Purple, 200, 2
HM, 'En fin insert here', New Zealand, 1067, XL, 407, 703, Cyan, 192, 2
dummy1, 'En fin insert here', Finland, 527, XL, 1756, 921, Blue, 50, 1
dummy1, 'En fin insert here', Finland, 929, XXL, 1690, 951, Purple, 139, 1
QM, 'En fin insert here', Norway, 1016, S, 537, 152, Cyan, 10, 3
dummy1, 'En fin insert here', Finland, 859, XL, 1243, 557, Cyan, 49, 3
Cubus, 'En fin insert here', Norway, 223, XXL, 653, 265, Pink, 176, 1
QM, 'En fin insert here', New Zealand, 839, XL, 1307, 447, Purple, 176, 2
QM, 'En fin insert here', Denmark, 579, SX, 1147, 74, Blue, 18, 3
QM, 'En fin insert here', New Zealand, 601, XXL, 1015, 865, Yellow, 15, 3
HM, 'En fin insert here', Germany, 215, S, 1111, 182, Cyan, 71, 2
dummy2, 'En fin insert here', Finland, 592, SX, 833, 664, Yellow, 127, 1
Cubus, 'En fin insert here', New Zealand, 658, M, 611, 166, Blue, 47, 1
Cubus, 'En fin insert here', Denmark, 1179, SX, 1862, 112, Green, 194, 2
dummy1, 'En fin insert here', Finland, 813, XL, 1059, 1047, Purple, 181, 2
dummy2, 'En fin insert here', Finland, 1049, SX, 1915, 445, Cyan, 190, 3
Cubus, 'En fin insert here', Norway, 983, M, 375, 949, Green, 177, 1
dummy1, 'En fin insert here', New Zealand, 561, XL, 599, 588, Yellow, 130, 3
QM, 'En fin insert here', Germany, 733, L, 1896, 634, Green, 50, 2
dummy1, 'En fin insert here', Denmark, 828, M, 209, 296, Purple, 177, 1
dummy2, 'En fin insert here', Sweden, 563, XXL, 1630, 985, Yellow, 188, 3
dummy1, 'En fin insert here', Germany, 1153, M, 1276, 680, Cyan, 70, 3
dummy2, 'En fin insert here', Finland, 957, SX, 617, 635, Purple, 120, 1
dummy1, 'En fin insert here', New Zealand, 763, XL, 1302, 752, Purple, 28, 3
dummy2, 'En fin insert here', New Zealand, 681, L, 193, 81, Cyan, 95, 1
HM, 'En fin insert here', Sweden, 685, L, 195, 1049, Cyan, 185, 2
HM, 'En fin insert here', Denmark, 307, XXL, 535, 601, Blue, 186, 3
Cubus, 'En fin insert here', Germany, 395, XXL, 1762, 825, Cyan, 62, 2
dummy1, 'En fin insert here', Germany, 599, SX, 197, 1029, Cyan, 95, 2
dummy1, 'En fin insert here', Germany, 414, XXL, 1821, 825, Pink, 69, 1
Cubus, 'En fin insert here', New Zealand, 998, XL, 219, 887, Pink, 158, 3
dummy1, 'En fin insert here', New Zealand, 912, M, 955, 979, Blue, 21, 1
dummy2, 'En fin insert here', New Zealand, 913, S, 910, 296, Yellow, 121, 3
dummy2, 'En fin insert here', Denmark, 1019, M, 1339, 89, Cyan, 25, 2
HM, 'En fin insert here', Norway, 411, XXL, 115, 657, Yellow, 74, 2
HM, 'En fin insert here', Sweden, 911, L, 1290, 708, Pink, 81, 1
HM, 'En fin insert here', Germany, 593, SX, 1613, 441, Purple, 96, 2
HM, 'En fin insert here', New Zealand, 513, XXL, 891, 760, Purple, 84, 1
Cubus, 'En fin insert here', Finland, 907, XXL, 774, 968, Yellow, 139, 1
QM, 'En fin insert here', Sweden, 1007, XL, 167, 302, Pink, 67, 2
dummy2, 'En fin insert here', Germany, 636, XL, 1864, 706, Cyan, 173, 2
HM, 'En fin insert here', Denmark, 712, SX, 881, 469, Yellow, 71, 1
QM, 'En fin insert here', Finland, 810, XXL, 1031, 946, Cyan, 173, 1
QM, 'En fin insert here', New Zealand, 572, S, 809, 1055, Yellow, 57, 1
Cubus, 'En fin insert here', New Zealand, 356, M, 782, 289, Pink, 186, 1
dummy2, 'En fin insert here', New Zealand, 891, XXL, 701, 284, Pink, 120, 1
dummy1, 'En fin insert here', Norway, 656, SX, 456, 467, Yellow, 61, 1
dummy1, 'En fin insert here', Finland, 896, M, 1079, 280, Cyan, 110, 2
dummy2, 'En fin insert here', New Zealand, 1016, S, 1454, 363, Purple, 22, 1
dummy2, 'En fin insert here', Germany, 775, XL, 608, 882, Yellow, 136, 2
QM, 'En fin insert here', Germany, 584, XL, 1592, 814, Blue, 105, 1
HM, 'En fin insert here', Finland, 647, SX, 937, 578, Blue, 42, 2
HM, 'En fin insert here', New Zealand, 656, XXL, 1972, 613, Purple, 128, 1
QM, 'En fin insert here', Norway, 577, S, 492, 887, Yellow, 174, 3
QM, 'En fin insert here', Denmark, 347, XL, 2025, 824, Green, 119, 1
QM, 'En fin insert here', New Zealand, 221, L, 1353, 394, Yellow, 45, 1
dummy2, 'En fin insert here', Sweden, 430, XXL, 497, 667, Yellow, 92, 3
Cubus, 'En fin insert here', Sweden, 951, L, 386, 962, Cyan, 12, 1
HM, 'En fin insert here', Denmark, 501, S, 1362, 629, Purple, 146, 1
HM, 'En fin insert here', Germany, 769, M, 492, 394, Pink, 131, 1
Cubus, 'En fin insert here', Denmark, 1122, L, 149, 502, Cyan, 159, 3
dummy1, 'En fin insert here', Norway, 923, XXL, 1351, 918, Cyan, 176, 1
Cubus, 'En fin insert here', Germany, 732, SX, 794, 554, Pink, 77, 3
dummy2, 'En fin insert here', Sweden, 627, SX, 1347, 1051, Green, 57, 2
HM, 'En fin insert here', New Zealand, 286, S, 903, 730, Green, 68, 2
HM, 'En fin insert here', New Zealand, 1031, XL, 353, 1060, Yellow, 50, 2
Cubus, 'En fin insert here', New Zealand, 378, L, 597, 684, Green, 17, 1
dummy2, 'En fin insert here', Germany, 651, L, 1145, 586, Cyan, 83, 3
QM, 'En fin insert here', Sweden, 209, SX, 694, 946, Pink, 160, 1
dummy1, 'En fin insert here', Finland, 424, L, 786, 84, Yellow, 4, 3
dummy1, 'En fin insert here', New Zealand, 507, M, 667, 918, Yellow, 57, 1
HM, 'En fin insert here', Germany, 391, XXL, 1608, 614, Green, 47, 2
dummy2, 'En fin insert here', Sweden, 671, S, 615, 763, Yellow, 188, 1
QM, 'En fin insert here', Norway, 228, XXL, 1948, 158, Pink, 113, 1
Cubus, 'En fin insert here', Germany, 441, SX, 1815, 300, Green, 83, 2
dummy1, 'En fin insert here', New Zealand, 558, S, 244, 690, Yellow, 24, 3
dummy1, 'En fin insert here', New Zealand, 1024, M, 452, 1012, Green, 81, 1
Cubus, 'En fin insert here', Sweden, 1092, XL, 1371, 814, Blue, 190, 3
Cubus, 'En fin insert here', Finland, 894, M, 836, 82, Pink, 175, 1
dummy2, 'En fin insert here', New Zealand, 733, S, 459, 619, Cyan, 44, 2
dummy2, 'En fin insert here', New Zealand, 709, XXL, 1228, 254, Blue, 73, 1
HM, 'En fin insert here', Norway, 1002, L, 1857, 838, Cyan, 114, 1
HM, 'En fin insert here', Denmark, 1071, M, 826, 549, Yellow, 106, 3
Cubus, 'En fin insert here', Germany, 814, S, 894, 572, Pink, 128, 1
HM, 'En fin insert here', New Zealand, 1155, S, 1906, 102, Purple, 35, 2
dummy2, 'En fin insert here', Finland, 552, L, 1884, 643, Purple, 120, 1
HM, 'En fin insert here', New Zealand, 927, M, 1599, 752, Green, 145, 1
dummy1, 'En fin insert here', Germany, 1185, XXL, 1276, 291, Cyan, 108, 1
QM, 'En fin insert here', Finland, 309, L, 1099, 708, Green, 190, 3
HM, 'En fin insert here', Norway, 395, M, 1080, 945, Pink, 109, 2
Cubus, 'En fin insert here', New Zealand, 347, SX, 1804, 914, Purple, 63, 3
HM, 'En fin insert here', Finland, 974, L, 549, 882, Yellow, 45, 3
Cubus, 'En fin insert here', Germany, 402, L, 163, 661, Blue, 83, 2
dummy2, 'En fin insert here', Denmark, 297, XXL, 534, 796, Purple, 138, 1
Cubus, 'En fin insert here', Norway, 349, SX, 1739, 700, Blue, 143, 1
dummy2, 'En fin insert here', Norway, 529, M, 548, 266, Green, 129, 1
dummy2, 'En fin insert here', Sweden, 212, M, 983, 850, Cyan, 6, 3
dummy1, 'En fin insert here', Sweden, 1116, XL, 151, 599, Cyan, 171, 1
dummy1, 'En fin insert here', Norway, 787, S, 75, 163, Pink, 70, 2
Cubus, 'En fin insert here', Denmark, 360, XL, 1745, 411, Green, 196, 2
dummy2, 'En fin insert here', New Zealand, 418, XXL, 1936, 584, Cyan, 74, 3
QM, 'En fin insert here', Norway, 802, XXL, 1233, 238, Pink, 97, 1
HM, 'En fin insert here', Denmark, 258, XL, 329, 719, Blue, 157, 3
HM, 'En fin insert here', Norway, 520, XXL, 1935, 113, Blue, 5, 1
Cubus, 'En fin insert here', Germany, 539, L, 1804, 1047, Purple, 113, 1
dummy2, 'En fin insert here', Germany, 914, XXL, 386, 493, Cyan, 55, 2
Cubus, 'En fin insert here', Denmark, 385, SX, 866, 143, Green, 131, 3
QM, 'En fin insert here', Sweden, 1102, XL, 589, 749, Blue, 37, 3
dummy1, 'En fin insert here', Norway, 1086, M, 1555, 409, Purple, 88, 3
